,sentence,download_link
32,MEG Energy Corp. Director of Marketing Business Development MEG Energy Corporation,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
33,"25th Floor, 600 – 3 Avenue SW Calgary, AB   T2P 0G5",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
34,Email Chris.Blaker@megenergy.com   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
35,"Mr. David Mercier Authorized Representative,",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
36,"MEG Energy Corp. Director, Legal MEG",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
37,"Energy Corp. 25th Floor, 600 – 3 Avenue SW Calgary, AB   T2P 0G5",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
38,Email David.Mercier@megenergy.com,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
39,"Mr. Evan Dickinson Legal Counsel Shell Canada Limited P.O. Box 100, Station M 400 – 4 Avenue SW Calgary, AB   T2P 0J4",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
40,Email Evan.Dickinson@shell.com   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
41,"Mr. Evan Dixon Authorized Representative, Shell Canada Limited Solicitor Shell Canada Limited 400 - 4 Avenue SW Calgary, AB   T2P 0J4",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
42,Email edixon@bdplaw.com   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
43,"Mr. Brendan Downey Authorized Representative, Shell Canada Limited Solicitor Shell Canada Limited 2400, 525 - 8 Avenue SW Calgary,",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
44,AB   T2P 1G1 Email,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
45,bdowney@bdplaw.com   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
46,"Mr. Robert Martz Authorized Representative, Shell Canada Limited Solicitor Shell Canada Limited 2400, 525 - 8 Avenue SW Calgary,",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
47,AB   T2P 1G1,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
48,Email rmartz@bdplaw.com   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
49,"Mr. Shawn Hinch Legal Manager and Vice President Total E&P Canada Ltd. 4700, 888 - 3 Street SW Calgary, AB   T2P 5C5 Email",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
50,shawn.hinch@total.com    ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
51,Mr. Ron Kruhlak Total E&P Canada Ltd. Legal Counsel McLennan Ross LLP 600 McLennan Ross Building 12220,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
52,"Stony Plain Road Edmonton, AB   T5N",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
53,3Y4 Email rkruhlak@mross.com  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
54,Appendix 1 to Commission Letter  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
55,Dated 19 June 2021 Page 1 of 2   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
56,Mr. Jay Headrick Senior Legal Counsel Suncor Energy Inc. P.O. Box 2844 150 - 6,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
57,"Avenue SW Calgary, AB   T2P",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
58,3E3 Email jheadrick@suncor.com  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
59,"Ms. Katie Slipp Blake, Cassels & Graydon LLP 3500",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
60,"Bankers Hall East Tower 855 - 2 Street SW Calgary,",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
61,"AB   T2P 4J8 Email katie.slipp@blakes.com Mr. C. Kemm Yates Suncor Energy Inc. 707, 308 - 4 Avenue SW Calgary, AB   T2P 0H7 Email cky@kemmyates.com",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
0,"450 - 1st Street SW Calgary, Alberta  T2P 5H1  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
1,Tel:  (403),https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
2,920-2918  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
3,Fax:,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
4,(403),https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
5,920-2347  E-mail:,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
6,"julie_kemp@transcanada.com  February 11, 2016   National Energy Board      Filed Electronically 517 Tenth Avenue SW Calgary, Alberta  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
7,T2R 0A8  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
8,"Attention: Ms. Sheri Young, Secretary of the Board   ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
9,"Dear Ms. Young:  Re: TransCanada Keystone Pipeline GP Ltd.,  as general partner on behalf of TransCanada Keystone Pipeline Limited Partnership (Keystone)  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
10,Filing of Keystone Pipeline System NEB Tariff No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
11,18  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
12,"Pursuant to Section 60(1)(a) of the National Energy Board Act, and in accordance with the National Energy Board’s Reasons for Decision in both OH-1-20071 and OH-1-20082",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
13,"Keystone files the enclosed international joint rate tariff (IJT), NEB Tariff No. 18, to be effective on  March 1, 2016.  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
14,NEB Tariff No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
15,"18 is being filed as an IJT between Keystone, and in agreement with, TransCanada Keystone Pipeline, LP, by its general partner, TransCanada Keystone Pipeline GP, LLC as offering joint international service from Hardisty, Alberta, Canada to Port Arthur, Texas in the United States (U.S.).",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
16,"As per Keystone’s proposal to discount uncommitted tolls (accepted by the Board in OH-1-2007 and OH-1-2008), the IJT will provide a more competitive and transparent full path toll to further attract uncommitted volumes to the U.S. Gulf Coast via the Keystone Pipeline System.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
17,The IJT rates set forth in NEB Tariff No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
18,18 are less than the sum of the local tariff rates for the component movements on the Keystone Pipeline System and the Keystone U.S. Pipeline System.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
19,As evidenced in Appendix A the proposed IJT rates would result in a discount to the sum of the local tariff rates.3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
20,"The proposed IJT does not affect any other posted rate, toll or charge payable in accordance with local tariffs.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
21,"The tariffs for the local rates in the U.S. are filed with the 1 NEB Reasons for Decision, TransCanada Keystone Pipeline GP Ltd., Application for Construction and Operation of the Keystone Pipeline, September 2007 (OH-1-2007).",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
22,"2 NEB Reasons for Decision, TransCanada Keystone Pipeline GP Ltd., Facilities and Toll Methodology, July 2008 (OH-1-2008).",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
23,3 Table 1 and Table 2 assume an exchange rate of CAD $1.00 = US $0.71.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
24,"Additional tables included for illustrative purposes assume the Canadian dollar to be at par with the U.S. dollar, which scenario also results in the IJT rates being less than the sum of the local tariff rates.                                                   ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
25,"Page 2 of 2             February 11, 2016",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
26,"Ms. S. Young  Federal Energy Regulatory Commission, which performs a similar regulatory role as that of the Board to ensure the local tariff rates are just and reasonable.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
27,"Should the Board require additional information regarding this filing, please contact me by phone at (403)",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
28,920-2918 or by email at julie_kemp@transcanada.com.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
29,"Yours truly, TransCanada Keystone Pipeline GP Ltd.  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
30,Original signed by  Julie Kemp Liquids Pipelines Regulatory  Attachments cc:,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
31,"Keystone Pipeline System shippers and interested parties  TransCanada Pipeline GP Ltd. and TransCanada Keystone Pipeline,",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
32,LPAppendix A - Supporting Information for the Rates Set Forth in NEB Tariff No. 18 and in FERC,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
33,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
34,7.0.0Origin,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
35,Destination CommodityCurrent  Uncommitted Toll in US,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
36,$/m3Current  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
37,Uncommitted Toll in US $/bblOrigin,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
38,Destination CommodityCurrent Temporary Discounted Rates In Effect in US,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
39,$/m3Current Temporary Discounted Rates,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
40,In Effect in US,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
41,$/bblCommoditySum of the Local Tariff Rates in US $/m3Sum of the Local Tariff Rates in US,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
42,$/bblLight Crude 11.630 1.849LightCrude,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
43,60.284 9.584Light,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
44,Crude 71.914 11.433Heavy Crude 13.082 2.080 Heavy Crude,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
45,64.895 10.317,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
46,Heavy Crude,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
47,77.977 12.397Light,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
48,Crude 11.433Heavy Crude 12.397Sum of the Local Tariff RatesTable 2:,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
49,"Discount Resulting from the International Joint Tariff RatesTable 1: Sum of the Local Tariff Rates                Assuming CAD $1.00 per US $0.71 Sum of the Local Tariff Rates in US $/bblTransCanada Keystone Pipeline, LPLocal Pipeline Tariff FERC",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
50,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
51,6.23.0TransCanada,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
52,Keystone Pipeline GP Ltd.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
53,Local Petroleum Toll Schedule NEB Tariff,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
54,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
55,"17Port Arthur, Texas               ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
56,"Assuming CAD $1.00 per US $0.71 7.113CommodityInternational Boundary at or near Haskett, Manitoba (for ultimate U.S. Delivery to Port Arthur, Texas)7.730(4.320)(4.667)International",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
57,"Boundary at or near Haskett, ManitobaHardisty, AlbertaInternational Joint Tariff Rates per FERC",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
58,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
59,7.0.0 and NEB Tariff No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
60,18 in US $/bblDiscount,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
61,"Resulting from International Joint Tariff RatesTransCanada Pipeline GP Ltd. and TransCanada Keystone Pipeline,",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
62,LPAppendix A con't - Supporting Information for the Rates Set Forth in NEB Tariff No. 18 and in FERC,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
63,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
64,7.0.0               ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
65,Assuming CAD $1.00 per US,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
66,$1.00Origin,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
67,Destination CommodityCurrent  Uncommitted Toll in US,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
68,$/m3Current  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
69,Uncommitted Toll in US $/bblOrigin,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
70,Destination CommodityCurrent Temporary Discounted Rates In Effect in US,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
71,$/m3Current Temporary Discounted Rates,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
72,In Effect in US,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
73,$/bblCommoditySum of the Local Tariff Rates in US $/m3Sum of the Local Tariff Rates in US,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
74,$,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
75,/bblLight Crude 16.380 2.604LightCrude 60.284 9.584Light,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
76,Crude 76.664,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
77,12.188Heavy Crude 18.425 2.929 Heavy Crude,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
78,64.895 10.317 Heavy Crude 83.320 13.246               ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
79,Assuming CAD $1.00 per,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
80,US $1.00Light,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
81,Crude 12.188Heavy,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
82,Crude 13.246Table 3: Sum of the Local Tariff Rates,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
83,"TransCanada Keystone Pipeline GP Ltd. TransCanada Keystone Pipeline, LP Sum of the Local Tariff RatesLocal Petroleum Toll Schedule NEB Tariff No.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
84,17 Local Pipeline Tariff FERC,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
85,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
86,"6.23.0Hardisty, AlbertaInternational Boundary at or near Haskett, Manitoba (for ultimate U.S. Delivery to Port Arthur, Texas)International Boundary at or near Haskett, ManitobaPort Arthur, TexasTable 4:",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
87,Discount Resulting from the International Joint Tariff Rates7.730 (5.516)CommoditySum of the Local Tariff Rates in US $/bblInternational Joint Tariff Rates per FERC,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
88,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
89,7.0.0 and NEB Tariff No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
90,18 in US $/bblDiscount,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
91,Resulting from International Joint Tariff Rates7.113 (5.075)    National Energy Board   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
92,FERC,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
93,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
94,7.0.0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
95,Tariff No. 18 FERC ICA Oil Tariff    TransCanada Keystone Pipeline GP Ltd. as general partner on behalf of TransCanada Keystone Pipeline Limited Partnership,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
96,"In Connection with TransCanada Keystone Pipeline, LP by its general partner  TransCanada Keystone Pipeline GP, LLC  International Joint Rate Tariff Containing Rates Applying to the Transportation of Petroleum  From Hardisty, Alberta  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
97,"To Port Arthur, Texas   ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
98,"The transportation rates listed in this tariff are subject to the Rules and Regulations published by: TransCanada Keystone Pipeline GP Ltd., National Energy Board (NEB)",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
99,Tariff No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
100,"15 and supplements thereto and reissues thereof, for transportation within Canada; and TransCanada Keystone Pipeline, LP’s,",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
101,F.E.R.C.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
102,"No. 5.3.0, and supplements thereto and reissues thereof; for transportation within the United States.  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
103,"For the purpose of this tariff, capitalized terms used herein and not otherwise defined",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
104,have the meanings set out in such Rules and Regulations.  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
105,Issued on 18 days’ notice under authority of 18 CFR § 341.14.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
106,This tariff publication is conditionally accepted subject to refund pending a 30 day review period.   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
107,"The provisions published herein will, if effective, not result in an effect on the quality of the human environment.     ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
108,"Issued: February 11, 2016                                                 ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
109,"Effective:  March 1, 2016",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
110,Issued by: Trudy Eisele TransCanada Keystone Pipeline GP Ltd. 450 –,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
111,"1st Street SW Calgary, Alberta T2P 5H1 Canada  Compiled by: Julie Kemp TransCanada Keystone Pipeline GP Ltd. 450 – 1st Street SW Calgary, Alberta T2P 5H1, Canada  (403)",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
112,920-2918 (403),https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
113,920-2347 (fax),https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
114,julie_kemp@transcanada.com   website: http://www.transcanada.com/keystone-shipper-information.html     NEB Tariff No. 18               Page 2 of 2                                                  FERC,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
115,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
116,7.0.0   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
117,International Joint Uncommitted Rates   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
118,"(Rates in United States dollars per Barrel)   Origin Destination Light Crude Heavy Crude Hardisty, Alberta Port Arthur, Texas 7.113  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
119,7.730    Notes: 1),https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
120,The international joint rates herein are applicable to a Non-Term Shipper who specifies the international joint service via a Notice of Shipment and to a Term Shipper with a Contract Delivery Point to Port Arthur for volumes,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
121,Tendered in excess of the Contract Volume in accordance with Term Shipper’s Contract.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
122,2) Volumes Tendered at the Lucas interconnect facility will be charged an additional US$0.629/m3 (US$0.10/bbl) for volumes Delivered at such facility.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
123,3),https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
124,There will be an Abandonment Surcharge of CAD$0.369/m3 (CAD$0.06/bbl) applicable to all Shippers in accordance with the determination of the Abandonment Charge as set forth in NEB Tariff No. 15.   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
125,Joint Routing:,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
126,"TransCanada Keystone Pipeline GP Ltd. - Hardisty, Alberta to International Boundary at or near Haskett, Manitoba connecting to; TransCanada Keystone Pipeline, LP - International Boundary at or near Haskett, Manitoba to  Port Arthur, Texas.  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
127,Exceptions: 1) Exception,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
128,to F.E.R.C.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
129,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
130,"5.3.0, Item 9, Payment of Tariff Rates and Other Charges and Lien for Unpaid Charges: For the purposes of this international joint tariff, NEB Tariff No.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
131,"15,  Article 9, will apply.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
132,TransCanada Keystone International Joint Rate Tariff NEB,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
133,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
134,18Attachment,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
135,1 - Appendix AAttachment 2 - Rate Schedule,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483
0,File OF-Tolls-Group1-E101-2019-02 02,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
1,8 June 2021  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
2,To:,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
3,All Participants in the RH-001-2020,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
4,Proceeding  Enbridge Pipelines Inc. (Enbridge)  Canadian Mainline Contracting Application Hearing Order RH-001-2020,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
5,Procedural Update,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
6,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
7,5 – Updated hearing timetable  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
8,"On 10 May 2021, the Commission of the Canada Energy Regulator (Commission)  issued Procedural Update",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
9,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
10,"4 (C13017), which provided detailed information on the  oral proceeding for RH-001-2020.  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
11,"On 19 May 2021, the oral proceeding began.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
12,"At this time, the Commission is updating the tentative schedule, based on how the proceeding has progressed and updates to estimates provided by the parties (Appendix I).",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
13,The Commission requests that any parties who have further changes to this update based on their current estimates raise such changes as a preliminary matter on the morning of 9 June 2021.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
14,The Commission appreciates parties’ assistance in providing estimates throughout the proceeding to allow the tentative schedule to be refined as the cross-examination continues.  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
15,As noted in Procedural Update,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
16,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249
