,doc_name,download_link,filing_date,folder_link,folder_name,submitter_category,submitter_name
15,C13426-7 Commission – Aid 6 - Enbridge Pipelines Inc. - CLT CER No. 458 (C03282-3) - A7U1J9,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099717,2021-06-04,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4099716,C13426 Commission | Commission - Letter – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Canada Energy Regulator Aids to Questioning Enbridge Panel No. 2,A - Commission,Commission | Commission
16,C13426-8 Commission – Aid 7 - Enbridge Pipelines Inc. - CLT NEB No. 448 (A99669-2) - A7U1K0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099718,2021-06-04,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4099716,C13426 Commission | Commission - Letter – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Canada Energy Regulator Aids to Questioning Enbridge Panel No. 2,A - Commission,Commission | Commission
18,C13227-1 Enbridge Pipelines Inc. - Canadian Mainline Contracting - Aids to Questioning of Enbridge Panel No. 1 - A7T8Q1,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4098232,2021-05-25,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4098231,C13227 Commission | Commission - Enbridge Pipelines Inc. - Canadian Mainline Contracting - Aids to Questioning of Enbridge Panel No. 1,A - Commission,Commission | Commission
19,C13227-2 Aid to Cross Attachment 1 - Link to Throughput and Capacity - A7T8Q2,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4097901,2021-05-25,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4098231,C13227 Commission | Commission - Enbridge Pipelines Inc. - Canadian Mainline Contracting - Aids to Questioning of Enbridge Panel No. 1,A - Commission,Commission | Commission
20,C13227-3 Aid to Cross Attachment II - Enbridge Guide BB Compliance - A7T8Q3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4097902,2021-05-25,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4098231,C13227 Commission | Commission - Enbridge Pipelines Inc. - Canadian Mainline Contracting - Aids to Questioning of Enbridge Panel No. 1,A - Commission,Commission | Commission
21,C13227-4 Aid to Cross- Attachment III - Income Summary Statement - A7T8Q4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4098753,2021-05-25,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4098231,C13227 Commission | Commission - Enbridge Pipelines Inc. - Canadian Mainline Contracting - Aids to Questioning of Enbridge Panel No. 1,A - Commission,Commission | Commission
23,C13055-1 CER – Letter – Enbridge – Canadian Mainline Contracting – Comment Process - A7T5S8,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4094287,2021-05-12,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4094286,C13055 Commission | Commission - Letter – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Comment Process on Motion to Strike Portions of Enbridge Reply Evidence,A - Commission,Commission | Commission
25,C13017-1 Commission – Procedural Update No. 4 - Enbridge – Canadian Mainline Contracting – Oral Hearing Clarification - A7T5D6,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4094341,2021-05-10,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4094340,C13017 Commission | Commission - Procedural Update No. 4 – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Oral Hearing Clarification,A - Commission,Commission | Commission
27,C12714-1 Commission – Procedural Update No. 3 - Enbridge – Canadian Mainline Contracting – Oral Hearing Detailed Information - A7T1H5,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4091785,2021-04-29,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4091340,C12714 Commission | Commission - Procedural Update No. 3 – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Oral Hearing Detailed Information,A - Commission,Commission | Commission
29,C12223-1 Commission – PU No. 2 - Enbridge – Canadian Mainline Contracting – Oral Hearing Information - A7S3I7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4085653,2021-03-31,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4085652,C12223 Commission | Commission - Procedural Update No. 2 – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Oral Hearing Information,A - Commission,Commission | Commission
31,C12103-1 Commission – Letter – Canadian Shippers Group - Enbridge – Canadian Mainline Contracting – IR No. 2 - A7S1Q3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4085162,2021-03-23,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4084934,C12103 Commission | Commission - Information Request No. 2 – Canadian Shippers Group – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
32,C12103-2 Commission – IR No. 2 – Canadian Shippers Group - Enbridge – Canadian Mainline Contracting - A7S1Q4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4085704,2021-03-23,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4084934,C12103 Commission | Commission - Information Request No. 2 – Canadian Shippers Group – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
34,C12102-1 Commission – Letter – Suncor Energy - Enbridge – Canadian Mainline Contracting – IR No. 2 - A7S1Q0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4085267,2021-03-23,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4085381,C12102 Commission | Commission - Information Request No. 2 – Suncor Energy Inc. – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
35,C12102-2 Commission – IR No. 2 – Suncor Energy - Enbridge – Canadian Mainline Contracting - A7S1Q1,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4085268,2021-03-23,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4085381,C12102 Commission | Commission - Information Request No. 2 – Suncor Energy Inc. – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
37,C11628-1 Commission – PU No. 1 - Enbridge – Canadian Mainline Contracting – Hearing Timetable and Preliminary Cross Estimates - A7R4K7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049666,2021-02-23,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4049665,C11628 Commission | Commission - Procedural Update No. 1 – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Hearing Timetable and Preliminary Cross Estimates,A - Commission,Commission | Commission
39,C11531-1 Commission – Letter – Enbridge – Canadian Mainline Contracting – IR No. 6 - A7R3E6,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041593,2021-02-16,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4042051,C11531 Commission | Commission - Information Request No. 6 – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
40,C11531-2 Commission – IR No. 6 – Enbridge – Canadian Mainline Contracting - A7R3E7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041594,2021-02-16,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4042051,C11531 Commission | Commission - Information Request No. 6 – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
42,C11372-1 Commission – Letter – Imperial Oil – Enbridge - Canadian Mainline Contracting – IR No. 1 - A7R0L6,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4039770,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4039769,C11372 Commission | Commission - Information Request No. 1 – Imperial Oil Limited – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
43,C11372-2 Commission – IR No. 1 – Imperial Oil - Enbridge – Canadian Mainline Contracting - A7R0L7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4039771,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4039769,C11372 Commission | Commission - Information Request No. 1 – Imperial Oil Limited – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
45,C11371-1 Commission – Letter – EPAC – Enbridge - Canadian Mainline Contracting – IR No. 1 - A7R0L3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041418,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041417,C11371 Commission | Commission - Information Request No. 1 – Explorers and Producers Association of Canada – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
46,C11371-2 Commission – IR No. 1 – EPAC - Enbridge – Canadian Mainline Contracting - A7R0L4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041419,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041417,C11371 Commission | Commission - Information Request No. 1 – Explorers and Producers Association of Canada – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
48,C11370-1 Commission – Letter – CSG – Enbridge - Canadian Mainline Contracting – IR No. 1 - A7R0L0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4039100,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4039099,C11370 Commission | Commission - Information Request No. 1 – Canadian Shippers Group – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
49,C11370-2 Commission – IR No. 1 – CCG - Enbridge – Canadian Mainline Contracting - A7R0L1,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4040084,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4039099,C11370 Commission | Commission - Information Request No. 1 – Canadian Shippers Group – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
51,C11368-1 Commission – Letter – Cenovus – Enbridge - Canadian Mainline Contracting – IR No. 1 - A7R0K5,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041511,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4039098,C11368 Commission | Commission - Information Request No. 1 – Cenovus Energy Inc. – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
52,C11368-2 Commission – IR No. 1 – Cenovus - Enbridge – Canadian Mainline Contracting - A7R0K6,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041413,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4039098,C11368 Commission | Commission - Information Request No. 1 – Cenovus Energy Inc. – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
54,C11367-1 Commission – Letter – CCRL and FCL – Enbridge - Canadian Mainline Contracting – IR No. 1 - A7R0K2,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4039767,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041323,C11367 Commission | Commission - Information Request No. 1 – Consumers’ Cooperative Refineries Ltd. and Federated Co-operatives Limited – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
55,C11367-2 Commission – IR No. 1 – CCRL and FCL - Enbridge – Canadian Mainline Contracting - A7R0K3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4039768,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041323,C11367 Commission | Commission - Information Request No. 1 – Consumers’ Cooperative Refineries Ltd. and Federated Co-operatives Limited – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
57,C11366-1 Commission – Letter – CAPP – Enbridge - Canadian Mainline Contracting – IR No. 1 - A7R0J9,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041243,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4039097,C11366 Commission | Commission - Information Request No. 1 – Canadian Association of Petroleum Producers – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
58,C11366-2 Commission – IR No. 1 – CAPP - Enbridge – Canadian Mainline Contracting - A7R0K0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041244,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4039097,C11366 Commission | Commission - Information Request No. 1 – Canadian Association of Petroleum Producers – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
60,C11365-1 Commission – Letter – BP Products – Enbridge - Canadian Mainline Contracting – IR No. 1 - A7R0J6,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4040082,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041412,C11365 Commission | Commission - Information Request No. 1 - BP Products North America Inc. – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
61,C11365-2 Commission – IR No. 1 – BP Products - Enbridge – Canadian Mainline Contracting - A7R0J7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4039655,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041412,C11365 Commission | Commission - Information Request No. 1 - BP Products North America Inc. – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
63,C11364-1 Commission – Letter – Athabasca - Enbridge – Canadian Mainline Contracting – IR No. 1 - A7R0J3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4040079,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041242,C11364 Commission | Commission - Information Request No. 1 - Athabasca Oil Corporation – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
64,C11364-2 Commission – IR No. 1 – Athabasca - Enbridge – Canadian Mainline Contracting - A7R0J4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4040080,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041242,C11364 Commission | Commission - Information Request No. 1 - Athabasca Oil Corporation – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
66,C11340-1 Commission – Letter – Valero Energy - Enbridge – Canadian Mainline Contracting – IR No. 1 - A7R0C1,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041223,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041222,C11340 Commission | Commission - Information Request No. 1 – Valero Energy Inc. – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
67,C11340-2 Commission – IR No. 1 – Valero Energy - Enbridge – Canadian Mainline Contracting - A7R0C2,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041224,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041222,C11340 Commission | Commission - Information Request No. 1 – Valero Energy Inc. – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
69,C11339-1 Commission – Letter – United Refining - Enbridge – Canadian Mainline Contracting – IR No. 1 - A7R0A8,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041219,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041218,C11339 Commission | Commission - Information Request No. 1 – United Refining Company – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
70,C11339-2 Commission – IR No. 1 – United Refining - Enbridge – Canadian Mainline Contracting - A7R0A9,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041220,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041218,C11339 Commission | Commission - Information Request No. 1 – United Refining Company – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
72,C11338-1 Commission – Letter – Suncor - Enbridge – Canadian Mainline Contracting – IR No. 1 - A7R0A5,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041319,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041318,C11338 Commission | Commission - Information Request No. 1 – Suncor Energy Inc. – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
73,C11338-2 Commission – IR No. 1 – Suncor - Enbridge – Canadian Mainline Contracting - A7R0A6,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4040063,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041318,C11338 Commission | Commission - Information Request No. 1 – Suncor Energy Inc. – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
75,C11337-1 Commission – Letter – Government of SK - Enbridge – Canadian Mainline Contracting – IR No. 1 - A7R0A2,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041215,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041214,C11337 Commission | Commission - Information Request No. 1 – Government of Saskatchewan – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
76,C11337-2 Commission – IR No. 1 – Government of SK - Enbridge – Canadian Mainline Contracting - A7R0A3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041216,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041214,C11337 Commission | Commission - Information Request No. 1 – Government of Saskatchewan – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
78,C11336-1 Commission – Letter – Motiva - Enbridge – Canadian Mainline Contracting – IR No. 1 - A7Q9Z9,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4039332,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4039331,C11336 Commission | Commission - Information Request No. 1 – Motiva Enterprises LLC – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
79,C11336-2 Commission – IR No. 1 – Motiva - Enbridge – Canadian Mainline Contracting - A7R0A0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4039333,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4039331,C11336 Commission | Commission - Information Request No. 1 – Motiva Enterprises LLC – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
81,C11335-1 Commission – Letter – MEG - Enbridge – Canadian Mainline Contracting – IR No. 1 - A7Q9Z6,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4039747,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4039746,C11335 Commission | Commission - Information Request No. 1 - MEG Energy Inc. – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
82,C11335-2 Commission – IR No. 1 – MEG - Inter Pipeline - Enbridge – Canadian Mainline Contracting - A7Q9Z7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041316,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4039746,C11335 Commission | Commission - Information Request No. 1 - MEG Energy Inc. – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
84,C11334-1 Commission – Letter – Inter Pipeline - Enbridge – Canadian Mainline Contracting – IR No. 1 - A7Q9Z3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041211,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041210,C11334 Commission | Commission - Information Request No. 1 - Inter Pipeline Ltd. – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
85,C11334-2 Commission – IR No. 1 – Inter Pipeline - Enbridge – Canadian Mainline Contracting - A7Q9Z4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4041212,2021-02-01,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4041210,C11334 Commission | Commission - Information Request No. 1 - Inter Pipeline Ltd. – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Commission | Commission
87,C11055-1 CER – Letter – Enbridge – Canadian Mainline Contracting – Clarification of Timetable - A7Q6A3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4034954,2021-01-20,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4035772,C11055 CER | REC - Letter – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Clarification of Timetable,A - Commission,CER | REC
89,C10348-1 CER – Enbridge – Canadian Mainline Contracting – Request for Extension to File Letter of Comment - A7L6X4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4028832,2020-12-11,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4028831,C10348 CER - Ruling No. 6 - Enbridge Pipelines Inc. - Canadian Mainline Contracting - Strathcona Resources Ltd. Request for Extension to File Letter of Comment,A - Commission,Canada Energy Regulator / Régie de l’énergie du Canada
91,C09649-1 CER – Ruling No. 5 – Enbridge – Canadian Mainline Contracting – Motions to Compel Response to IRs No. 2 and 3 - A7K6L3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4013427,2020-11-18,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4013426,C09649 CER - Ruling No. 5 – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Motions to Compel a Response to Intervenor Information Requests No. 2 and 3,A - Commission,Canada Energy Regulator / Régie de l’énergie du Canada
93,C09529-1 CER – Letter – Enbridge – Canadian Mainline Contracting – IR No. 5 - A7K4S5,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4013193,2020-11-12,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4013192,C09529 CER - Information Request No. 5 – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Canada Energy Regulator / Régie de l’énergie du Canada
94,C09529-2 CER – IR No. 5 – Enbridge – Canadian Mainline Contracting - A7K4S6,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4013194,2020-11-12,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4013192,C09529 CER - Information Request No. 5 – Enbridge Pipelines Inc. – Canadian Mainline Contracting Application,A - Commission,Canada Energy Regulator / Régie de l’énergie du Canada
96,C09064-1 CER - Ruling No. 4 - Enbridge Pipelines - Canadian Mainline Contracting - CNRL Motion for Summary Dismissal - A7J7D4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3974110,2020-10-22,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4003809,C09064 CER - Ruling No. 4 - Enbridge Pipelines Inc. - Canadian Mainline Contracting - Notice of Motion by Canadian Natural Resources Limited for Summary Dismissal of Application,A - Commission,Canada Energy Regulator / Régie de l’énergie du Canada
97,C09064-2 REC - Decision no 4 - Pipelines Enbridge - Contrat de réseau principal au Canada - Requête de CNRL pour rejet sommaire - A7J7D3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3974111,2020-10-22,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4003809,C09064 CER - Ruling No. 4 - Enbridge Pipelines Inc. - Canadian Mainline Contracting - Notice of Motion by Canadian Natural Resources Limited for Summary Dismissal of Application,A - Commission,Canada Energy Regulator / Régie de l’énergie du Canada
